Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,18653.7962247677,19565.2848184626,20235.19856593,20435.4084386232,21479.006616364,22405.3677968845,22703.9964514072,23724.2659333337,24368.4448609663,25440.8411888638,27794.9778610734,28800.3879346151,30282.2886450283,30899.0654242476,32034.0150753085,33177.8909458158,35216.6497097041,36752.9828470329,37883.3319417819,37785.8681727099,39866.7272663767,40942.372710454,42290.7620520019,43671.11959259,44929.685593416,46213.2665340101,48624.8884362385,50771.628259068,52253.9816274533
Benin,1259.57244777853,1312.12579917928,1334.4776980483,1396.08360275561,1405.70910958707,1472.6337526246,1516.00395792339,1581.94309320914,1614.63005190374,1675.2458002696,1759.71907538205,1837.80403392215,1895.00043977646,1936.88122974907,2015.6375059704,2052.52833878222,2135.26273056068,2258.49187843137,2347.92270462443,2353.63420833719,2364.11835143685,2416.32710692028,2503.86957090552,2673.79160736428,2834.77756338247,2887.1780743667,3005.67839324884,3044.51388698516,3237.77206130646
Burkina Faso,524.692084413464,576.007228870548,574.814870112053,592.526920170133,596.641504411753,626.531097190851,688.962599347535,724.658502374098,764.631371026265,809.919480700079,819.474484602814,867.669387394477,893.685479578557,953.2720296172,993.269144007908,1080.47344962589,1147.94826421243,1208.49444234908,1282.48232878003,1290.87147214461,1335.15843980981,1410.29558020586,1442.83126428537,1498.47960086853,1505.14632771328,1510.08534597338,1606.71594858713,1791.33910642862,1904.94123388765
Bangladesh,850.504993700031,888.997352556574,937.573055565513,983.451105198873,1021.43091609939,1073.10420267795,1118.10087911249,1163.61713826106,1212.18803938039,1261.34443375973,1331.54827489787,1403.12604409839,1453.26189967675,1523.79715015918,1620.42472898758,1753.87429547609,1901.71618658119,2065.15447700244,2206.5099318953,2309.56319433464,2439.06956778992,2620.82248355375,2937.61106411572,3143.57503473469,3367.57136103935,3555.41677702092,3849.37395411381,4161.08971339052,4549.61392841255
Bulgaria,7491.0589259877,7160.92069127977,6864.79715864622,6978.86880355856,7282.16728535569,7681.65106260925,6775.8406345088,5695.42579605598,6141.20457729288,5767.19114134622,6379.39098699151,6909.02265116545,7726.41129289764,8343.29617887978,9122.86833284325,10211.3030087224,11311.638802398,12799.9281220341,14328.9350724869,14156.8410403373,14945.2604469134,15676.0813635351,16208.2291162516,16571.0498499014,17534.3420112548,18186.485798929,19807.0842461553,21181.7717825613,22304.9448471394
Bahrain,26875.6215378614,30066.2908715676,31972.9202785133,36038.6648496719,35822.7904994888,37059.5494743557,38272.8237380094,39039.6708579974,40104.8822018464,40910.6909206157,42181.8815596526,42094.9220591522,41932.2800667792,42860.5218355812,44185.4858666161,45400.5372365153,46200.9195903719,47533.1324923382,47846.4016186454,46497.7431960885,46873.1422008214,47377.6162309358,50318.1806591314,51065.057623591,51037.0252864684,45281.2542051841,44323.9329615243,47654.6099200139,47296.9869532702
"Bahamas, The",21497.1153025759,20904.3399445037,20174.6935822863,20331.0804148135,21048.1772050957,22083.2106212293,23124.2028226227,23725.6635138372,24844.2760780185,26685.3197654592,28033.5739668075,28956.9833688796,29715.464053878,29362.55929916,29869.3422086529,31260.7748089567,32401.5884907819,33117.4087399029,32373.2460757535,30728.4966943337,31090.2064810792,31522.5462184239,32224.8958038037,31859.7744951474,32561.1402457655,33542.2518103513,34181.7690444839,35308.4133992786,36365.3199194126
Bosnia and Herzegovina,,,,,953.136458874085,1208.52641683796,2365.33789577352,3258.12327288766,3810.5494260845,4226.4553447083,4549.08258193824,4751.16601293426,5136.53016704206,5373.24286205441,6200.63632841505,6479.67737891266,7405.08977128619,8188.02428134256,9028.83905834015,9037.31950379456,9354.55388598328,9976.4382653716,10304.0227584863,11016.580892108,11433.180349599,12013.9787050157,13070.8348288799,13842.7120125885,14962.0374031868
Belarus,5232.0782928057,5341.48526225171,4928.10880026567,4650.98823703594,4199.44034493475,3854.03197581428,4047.99073077844,4606.71959410067,5073.96193349542,5344.65821341109,5808.35742589084,6248.21138208667,6709.84550278391,7367.19377907156,8489.48408683134,9642.42979184261,10994.7667385964,12317.456496215,13885.7467208604,14050.8803091719,15349.2281346448,16543.0437300092,17753.7803217044,19112.4166400557,18955.9045068098,20146.388540526,20214.6158770121,18280.1989190642,19345.2705088125
Belize,3258.15269573611,3684.2363884294,4153.17196945277,4442.98305189226,4453.59311423148,4459.45555027905,4461.51233812417,4531.43491729171,4574.96423459756,4863.74182838721,5430.64541049625,5651.07606111525,5866.13187799462,6361.56317958826,6661.4553621878,6864.89686637794,7205.52575360839,7288.35404680661,7475.09390502545,7393.86882266165,7545.84039799863,7684.81873722086,7274.79380705556,7228.06329563449,7170.24109570736,7244.27583136424,7179.16464879742,7108.84141000296,7360.02650397217
Bermuda,29458.4494679157,29530.0944469579,30404.4682526996,31889.811017242,32539.6097666097,34436.0924629826,35749.356982467,37807.2562003424,39433.1514954124,41124.8478835567,45554.1677206526,49379.7911943721,49099.0917085812,51379.3424760394,53635.8413651987,55869.6325069127,60404.0004077814,63432.9958000767,65267.6395049066,61945.5620287266,61837.4257306114,61550.2247919138,58578.7401392841,59483.0234385154,,,,,
